arabic,armenian,azerbaijani,basque,bengali,bosnian,bulgarian,catalan,cebuano,corsican,croatian,danish,esperanto,estonian,filipino,finnish,galician,georgian,german,greek,gujarati,haitian,hawaiian,hebrew,hmong,hungarian,icelandic,igbo,indonesian,irish,italian,japanese,javanese,kannada,kazakh,khmer,kurdish,kyrgyz,lao,latin,latvian,luxembourgish,macedonian,malagasy,malaysian,malayalam,maltese,maori,marathi,mongolian,nepali,pashto,persian,polish,portuguese,punjabi,romanian,samoan,serbian,shona,sindhi,sinhala,slovak,somali,spanish,sundanese,swahili,swedish,tajik,tamil,telugu,thai,urdu,uzbek,vietnamese,xhosa,yiddish,yoruba,zulu
الحديث,ժամանակակից,müasir,modernoa,আধুনিক,moderne,модерна,moderna,модерна,mudernu,moderni,moderne,modernaj,kaasaegne,modernong,nykyaikainen,moderno,თანამედროვე,modernen,σύγχρονος,આધુનિક,modèn,kēia,מודרני,niaj hnub,modern,nútíma,n’oge a,yang modern,nua-aimseartha,moderno,モダン,modern,ಆಧುನಿಕ,қазіргі заманғы,សម័យទំនើប,rojane,азыркы,ທີ່ທັນສະໄຫມ,modern,mūsdienu,modern,модерен,ankehitriny,moden,ആധുനികമായ,modern,hou,आधुनिक,орчин үеийн,आधुनिक,عصري,مدرن,nowoczesny,moderno,ਆਧੁਨਿਕ,modernă,po nei,модеран,ano,جديد,නවීන,moderné,casri ah,moderno,moderen,kisasa,moderna,муосир,நவீன,ఆధునిక,ที่ทันสมัย,جدید,zamonaviy,hiện đại,yanamhlanje,מאָדערן,igbalode,yesimanje
عنصر,տարր,element,elementu,উপাদান,element,елемент,element,елемент,elimentu,Element,elementet,elemento,element,elemento,elementti,elemento,ელემენტი,Elementes,στοιχείο,તત્વ,eleman,’āweʻaweʻa,אלמנט,keeb,elem,þáttur,mmewere,elemen,eilimint,elemento,要素,unsur,ಅಂಶ,элемент,ធាតុ,pêve,элемент,ອົງປະກອບຂອງ,aliquid,elements,element,елемент,singa,elemen,മൂലകം,element,huānga,घटक,элемент,तत्व,عنصر,عنصر,elementu,elemento,ਤੱਤ,element,tōtōga,елемент,eremendi,هدايت,මූලද්රව්යය,prvok,element,elemento,unsur,kipengele,elementet,элемент,உறுப்பு,మూలకం,องค์ประกอบ,عنصر,element,yếu tố,isiqalelo,עלעמענט,ano,isici
ضرب,հարվածել,hit,hit,আঘাত,hit,хит,colpejar,хит,schjaccià,hit,hit,batita,löögi,pindutin ang,osuma,bater,მოხვდა,treffen,χτύπημα,હિટ,frape,ku,פגע,ntaus,hit,högg,kụrụ,hit,hit,colpire,ヒット,mejet,ಹಿಟ್,HIT,បុក,lêxistin,Даражасы:,ມົນຕີ,ictus,hit,hit,хит,voa,melanda,തല്ലുക,hit,patua,दाबा,хит,मारा,وشوه,ضربه,uderzać,acertar,ਹਿੱਟ,lovit,tā,ударити,rova,اچي ويو,ඝාතකයා,hit,dhuftey,golpear,neunggeul,hit,hit,задан,வெற்றி,హిట్,ตี,مارا,zarba,nhấn,betha,שלאָגן,lu,shaya
طالب,ուսանող,tələbə,ikaslearen,ছাত্র,student,студент,estudiant,студент,studiente,student,studerende,lernantino,õpilane,mag-aaral,opiskelija,estudante,სტუდენტი,Schüler,φοιτητής,વિદ્યાર્થી,elèv,haumana,סטודנט,me nyuam kawm ntawv,diák,nemandi,na-amụrụ,mahasiswa,mac léinn,studente,学生,mahasiswa,ವಿದ್ಯಾರ್ಥಿ,студент,សិស្ស,zankoyî,окуучу,ນັກສຶກສາ,discipulo,students,schüler,студент,mpianatra,pelajar,വിദ്യാർത്ഥി,istudent,ngā ākonga,विद्यार्थी,оюутан,विद्यार्थीको,محصل,دانش آموز,uczeń,estudante,ਵਿਦਿਆਰਥੀ ਦੀ,elev,tamaitiiti,студент,mudzidzi,شاگرد,ශිෂ්ය,študent,ardaygu,estudiante,murid,mwanafunzi,studenten,донишҷӯи,மாணவர்,విద్యార్థి,นักเรียน,طالب علم,talaba,sinh viên,umfundi,תּלמיד,akeko,ofundayo
ركن,անկյուն,künc,korner,কোণ,kutak,ъгъл,cantonada,ъгъл,munnizza,kutak,hjørne,angulo,nurgas,sulok,kulma,canto,კუთხეში,Ecke,γωνία,ખૂણે,kwen,ke kihi,פינה,ces kaum,sarok,horn,n’akụkụ,sudut,cúinne,angolo,コーナー,sudhut,ಮೂಲೆಯಲ್ಲಿ,бұрыш,ជ្រុង,qozî,бурч,ແຈ,anguli,stūris,corner,агол,zoro,sudut,മൂല,kantuniera,kokonga,कोपरा,булангийн,कुना,کونج,گوشه,narożnik,canto,ਕੋਨੇ,colț,tulimanu,Цорнер,pakona,ڪنڊ,කෙළවරේ,rohu,geeska,esquina,juru,kona,hörn,гӯшаи,மூலையில்,మూలలో,มุม,کونے,burchak,góc,ikona,ווינקל,igun,ekhoneni
حزب,կուսակցություն,party,festa,দল,stranka,парти,partit,парти,partitu,stranka,parti,festo,poole,partido,puolue,festa,პარტია,Partei,κόμμα,પક્ષ,pati,’aoʻao,מפלגה,tog,fél,aðila,otu,partai,páirtí,partito,パーティー,katelu,ಪಕ್ಷದ,партия,គណបក្ស,partî,партия,ພັກ,pars,puse,partei,партија,antoko,pihak,കക്ഷി,parti,rōpū,पक्ष,нам,पार्टी,ګوند,حزب,strona,festa,ਪਾਰਟੀ ਦੇ,partid,vaega,Парти,pati,پارٽي,පක්ෂ,strana,xisbiga,partido,pesta,chama,parti,ҳизб,கட்சி,పార్టీ,บุคคลที่,پارٹی,partiya,bên,iqela,פּאַרטיי,ẹnikẹta,inhlangano
تزويد,մատակարարում,təchizatı,hornikuntza,সরবরাহ,napajanja,доставка,subministrament,доставка,branch,opskrba,forsyning,provizado,pakkumine,panustos,tarjonta,subministración,ახალი,Versorgung,προμήθεια,પુરવઠો,ekipman pou,lako hou,אספקה,mov,ellátás,framboð,enweta,pasokan,soláthar,fornitura,サプライ,sumber,ಪೂರೈಕೆ,жабдықтау,ការផ្គត់ផ្គង់,erzaq,жабдуу,ການສະຫນອງ,copia,piegāde,fourniture,снабдување,famatsiana,bekalan,വിതരണം,provvista,homai,पुरवठा,хангамж,आपूर्ति,رسولو,عرضه,Zasilanie,fornecimento,ਦੀ ਸਪਲਾਈ,aprovizionare,tuuina atu,снабдевање,zvitengeswa,جي سامان جو,සැපයුම,napájanie,siin,suministro,asupan,usambazaji,försörjning,таъминоти,வழங்கல்,సరఫరా,อุปทาน,فراہمی,ta’minlash,cung cấp,isibonelelo,צושטעלן,ipese,phakela
الذي,ում,kimin,zeinen,যার,čije,чиято,el,чиято,quale,čije,hvis,kies,kelle,kung saan ang,joiden,cuxa,რომლის,deren,των οποίων,જેના,ki gen,kona,של מי,uas nws,akinek,sem,onye,yang,a bhfuil a,la cui,その,kang,ಅವರ,кімнің,ដែល,yê wan,кимдин,ທີ່,cuius,kuru,deenen hir,чија,izay,yang,ആരുടെ,li,tona,ज्यांचे,нь,जसको,د چا,که,którego,cuja,ਜਿਸ ਦੇ,a cărui,o lona,чији,vane,جن جي,කාගේ,ktorého,kuwaas oo,cuya,saha,ambao,vars,ки,அதன்,దీని,ใคร,جن,kimning,có,kabani,וועמענס,ti,ogama
حدد,տեղադրել,tapmaq,kokatzeko,সনাক্ত,locirati,намерете,localitzar,намерете,Piatra,locirati,lokalisere,lokalizi,leida,hanapin,paikantaa,atopar,განთავსდება,lokalisieren,εντοπίσετε,સ્થિત,lokalize,huli ana,אתר,nrhiav,elhelyez,finna,chọta,mencari,aimsiú,individuare,検索する,nemokake,ಪತ್ತೆ,орналастыру,ទីតាំង,dîtin,жайгаштыруу,ສະຖານທີ່,locant,atrodiet,situéiert,лоцирајте,toerana,mengesan,കണ്ടുപിടിക്കുക,lokalizzar,te kimi,शोधून काढणे,олох,तोक्न,او موقعيت,قرار,lokalizować,localizar,ਲੱਭਣ,localiza,mauaina,лоцирати,tsvaka,لڳائڻ,සොයා,vyhľadať,hel,localizar,nempatkeun,Machapisho,lokalisera,кўда-,கண்டறிவது,గుర్తించడం,ค้นหา,تلاش,topish,xác định vị trí,fumana,געפינען,wa,thola
عصابة,մատանի,ring,ring,রিং,Ring,пръстен,anell,пръстен,anellu,prsten,ring,ringon,ring,singsing,rengas,anel,ბეჭედი,Rings,δαχτυλίδι,રિંગ,bag,ke komo lima,טבעת,nplhaib,gyűrű,hringur,mgbanaka,cincin,fáinne,anello,リング,ring,ರಿಂಗ್,жүзік,ចិញ្ចៀន,qulp,шакек,ວົງ,orbis,gredzens,ring,прстен,peratra,cincin,വളയം,ring,mowhiti,अंगठी,бөгж,औंठी,حلقوي,حلقه,pierścień,anel,ਰਿੰਗ,inel,liʻo,ринг,mhete,منڊي,මුද්ද,krúžok,Giraanta,anillo,ngirining,pete,ring,ангуштарин,மோதிரத்தை,రింగ్,แหวน,انگوٹی,ring,vòng,umsesane,רינג,iwọn,nkeneza
حرف,բնավորությունը,xarakter,pertsonaia,চরিত্র,karakter,характер,caràcter,характер,parsunaghju,karakter,karakter,gravulo,märgi,katangian,merkki,carácter,ხასიათი,Charakter,χαρακτήρας,પાત્ર,karaktè,ano,אופי,cim,betű,eðli,agwa,karakter,charachtar,carattere,キャラクター,karakter,ರ,кейіпкер,តួអក្សរ,şexsîyet,белги,ລັກສະນະ,character,raksturs,charakter,карактер,toetra,watak,പ്രതീകം,karattru,pūāhua,वर्ण,тэмдэгт,चरित्र,لوښه,شخصیت,znaków,caráter,ਅੱਖਰ ਨੂੰ,caracter,uiga,карактер,mutambi,ڪردار,චරිත,charakter,qof,carácter,perbawa,tabia ya,karaktär,характер,பாத்திரம்,పాత్ర,ตัวอักษร,کردار,fe’l,nhân vật,umlinganiswa,פּאַרשוין,ohun kikọ,uhlamvu
الحشرة,միջատ,həşərat,intsektuen,পোকা,insekata,насекоми,insectes,насекоми,insecte,insekata,insekt,insekto,putukate,insekto,hyönteinen,insectos,მწერის,insekt,έντομο,જંતુ,ensèk,insect,חרקים,kab,rovar,skordýrum,ahụhụ,serangga,feithidí,insetto,昆虫,serangga,ಕೀಟ,жәндік,សត្វល្អិត,mêşik,курт-кумурска,ແມງໄມ້,insect,kukainis,insekt,инсекти,bibikely,serangga,പുഴു,insetti,pepeke,किटक,шавьж,कीरा,د حشراتو,حشرات,owad,inseto,ਕੀੜੇ,insectă,meaola lāiti,инсеката,kambuyu,مقطع,කෘමි,hmyz,cayayaanka,insecto,sato gegeremet,wadudu,insekt,ҳашароти,பூச்சி,క్రిమి,แมลง,کیڑے,hasharot,côn trùng,isinambuzane,ינסעקט,kokoro,kwezinambuzane
اشتعلت,բռնել,tutdu,harrapatu,ধরা,uhvaćen,уловени,capturat,уловени,fuòru pigghiàti,uhvaćen,fanget,kaptita,püütud,nahuli,kiinni,capturados,დაიჭირეს,gefangen,αλιεύονται,કેચ,kenbe,loaa,נתפס,ntes tau,fogott,veiddur,jidere,tertangkap,ghabh,catturato,キャッチ,kejiret,ಕ್ಯಾಚ್,ұстап,ចាប់បាន,girtin,кармалды,ຈັບໄດ້,captus,nozvejotas,séier,фатени,tratra,ditangkap,പിടിച്ചു,maqbuda,mau,पकडले,татлаа,समातिए,ګير,گرفتار,złapany,capturados,ਫੜਿਆ,prins,maua,ухваћен,ukabatwa,پڪڙجي,අල්ලා,chytil,qabto,capturado,nyanggap,hawakupata,fångad,сайд,பிடித்து,క్యాచ్,จับ,پکڑے,qo’lga,bắt,babambisa,געכאפט,mu,babanjwa
فترة,ժամկետը,dövr,epea,সময়ের,periodu,период,període,период,piriudu,razdoblje,periode,periodo,perioodil,panahon,aika,período,პერიოდი,Zeit,περίοδο,સમય,peryòd,manawa,התקופה,lub sij hawm,időszak,tímabil,oge,periode,tréimhse,periodo,期間,periode,ಅವಧಿ,кезең,អំឡុងពេល,nixte,мезгил,ໄລຍະເວລາ,tempus,periods,zäitraum,период,fotoana,tempoh,കാലഘട്ടം,perjodu,wā,कालावधी,хугацаа,अवधिमा,موده,دوره,okres,período,ਦੀ ਮਿਆਦ,perioada,vaitaimi,период,nguva,دور ۾,කාලය,obdobie,muddo,período,waktu,kipindi,period,муддат,காலம்,కాలం,ระยะเวลา,مدت,davr,thời gian,ixesha,צייַט,akoko,isikhathi
تشير,ցույց տալ,göstərir,adierazten,নির্দেশ,ukazuju,посочете,indicar,посочете,indicanu,naznačiti,angive,indiki,näitama,ipahiwatig,osoittaa,indican,მიუთითოს,zeigen,υποδεικνύουν,સૂચવે છે,endike,hoike,מצביע על,qhia,"azt mutatják,",benda,egosi,menunjukkan,Léiríonn,indicare,示す,nunjukaké,ಸೂಚಿಸುತ್ತದೆ,көрсету,បង្ហាញថា,nîşandan,көрсөтүү,ຊີ້ບອກ,indica,norādīt,charakteriséieren,укажуваат,maneho,menunjukkan,സൂചിപ്പിക്കുക,jindikaw,tohu,सूचित,харуулж байна,सङ्केत,ښيي,نشان می دهد,"wskazują,",indicam,ਪਤਾ ਲੱਗਦਾ ਹੈ,indica,faailoa,указују,dzinoratidza,صاف ظاهر آهي,සඳහන්,označiť,waxay tilmaamayaan,indicar,nunjukkeun,zinaonyesha,indikerar,ишора,குறிக்கிறது,సూచిస్తున్నాయి,แสดง,اس بات کی نشاندہی,ko’rsatadi,chỉ ra,zibonisa,אָנווייַזן,fihan,khombisa
راديو,ռադիո,radio,radio,রেডিও,radio,радио,ràdio,радио,radiu,radio,radio,radio,raadio,radyo,radio,radio,რადიო,Funk,ράδιο,રેડિયો,radyo,Radio,רדיו,xov tooj cua,rádió,útvarp,redio,radio,raidió,radio,ラジオ,radio,ರೇಡಿಯೋ,радио,វិទ្យុ,radyo,радио,ວິທະຍຸ,radio,radiofrekvenču,radio,радио,onjam-peo,sejuk,റേഡിയോ,radju,reo irirangi,रेडिओ,радио,रेडियो,راډیو,رادیو,Radio,rádio,ਰੇਡੀਓ,Radio,leitio,Радио,redhiyo,ريڊيو,ගුවන් විදුලි,rádio,raadiyaha,Radio,radio,za Redio,radio,радио,ரேடியோ,రేడియో,วิทยุ,ریڈیو,radio,radio,unomathotholo,ראַדיאָ,redio,umsakazo
وتحدث,խոսեց,danışıb,mintzatu,বক্তব্য রাখেন,krakova,Говорих,parlar,Говорих,parlava,govorio,talte,parolis,rääkis,nagsalita,puhui,falou,ისაუბრა,Speiche,μίλησε,વાત કરી હતી,te pale,olelo,דיברתי,hais lus,küllős,talaði,kwuru,berbicara,labhair,raggio,スポーク,ngandika,ಮಾತನಾಡಿದರು,спица,និយាយ,re axivî,мындай деди:,ໄດ້ເວົ້າເຖິງ,Locutusque,runāja,geschwat,зборуваше,niteny,bercakap,സ്പോക്,Tkellem,ka korero,बोलले,ярьсан,कुरा,خبرې وکړې,صحبت,zabrał,falou,ਗੱਲ,a vorbit,Na saunoa,крака,akataura,ارن,කථා,lúče,hadlay,habló,spoke,alizungumza,talade,гуфт,பேசினார்,మాట్లాడారు,พูด,بات چیت,gapirdi,nói,wathetha,גערעדט,sọ,wakhuluma
ذرة,ատոմ,atom,atomo,পরমাণু,atom,атом,àtom,атом,atomu,atom,atomet,atomo,aatom,atom,atomi,átomo,ატომის,Atom,άτομο,અણુ,atòm,’Ātoma,אטום,atom,atomnak,atóm,atọm,atom,adamh,atomo,アトム,atom,ಪರಮಾಣು,атом,អាតូម,atom,атом,ປະລໍາມະນູ,atom,atoms,atom,атомот,tsivaky,debu,പരമാണു,atomu,ngota,अणू,атомын,अणु,اټومي,اتم,atom,átomo,ਐਟਮ,atomul,atomu,атома,atomu,جوهر,පරමාණුවක්,atóm,Attam,átomo,atom,chembe,atomen,атом,அணுவின்,అణువు,อะตอม,ایٹم,atom,nguyên tử,iatom,אַטאָם,Atomu,athomu
بشري,մարդկային,insan,giza,মানবীয়,ljudskih,човешкото,humà,човешкото,umanu,ljudsko,menneske,homa,inimese,pantao,ihmisen,humano,ადამიანის,Mensch,ανθρώπινη,માનવ,imen,kanaka,אדם,tib neeg,emberi,manna,mmadụ,manusia,daonna,umano,人間,manungsa,ಮಾನವ,адам,មនុស្ស,mirov,адам,ມະນຸດ,hominis,cilvēku,mënsch,човечки,olombelona,manusia,മാനുഷികമായ,bniedem,tangata,मानवी,хүний,मानव,د بشري,انسانی,ludzki,humano,ਮਨੁੱਖੀ,uman,tagata,људски,munhu,انساني,මානව,človek,aadanaha,humana,manusa,binadamu,humant,инсон,மனித,మానవ,มนุษย์,انسانی,odam,con người,umntu,מענטשלעך,eda eniyan,womuntu
التاريخ,պատմություն,tarix,historia,ইতিহাস,Istorija,история,història,история,storia,Povijest,historie,historio,ajalugu,kasaysayan,historia,historia,ისტორია,Geschichte,ιστορία,ઇતિહાસ,istwa,mōʻaukala,היסטוריה,keeb kwm,történelem,saga,akụkọ ihe mere eme,sejarah,stair,storia,歴史,Sajarah,ಇತಿಹಾಸ,тарихы,ប្រវត្តិសាស្រ្ត,dîrok,тарых,ປະຫວັດສາດ,rerum,vēsture,geschicht,историја,tantara,sejarah,ചരിത്രം,istorja,hītori,इतिहास,түүх,इतिहास,تاريخ,تاریخ,Historia,história,ਇਤਿਹਾਸ ਨੂੰ,istorie,talafaasolopito,Историја,nhoroondo,تاريخ,ඉතිහාසය,histórie,taariikhda,historia,sajarah,historia,historia,таърих,வரலாற்றில்,చరిత్ర,ประวัติศาสตร์,تاریخ,tarix,lịch sử,imbali,געשיכטע,itan,Umlando
تأثير,ազդեցություն,təsiri,efektu,প্রভাব,učinak,ефект,efecte,ефект,effettu,posljedica,effekt,efekto,mõju,epekto,vaikutus,efecto,ეფექტი,Wirkung,επίδραση,અસર,efè,kanawai,השפעה,nyhuv,hatás,áhrif,mmetụta,efek,éifeacht,effetto,効果,efek,ಪರಿಣಾಮ,әсер,ផលប៉ះពាល់,tesîr,таасири,ຜົນກະທົບ,effectus,efekts,effet,ефект,vokatry,kesan,ഫലം,effett,pānga,परिणाम,үр нөлөө,प्रभाव,اغېز,اثر,efekt,efeito,ਪ੍ਰਭਾਵ ਨੂੰ,efect,aafiaga,ефект,Chaizvoizvo,اثر,ක්රියාත්මක,efekt,dhaqan,efecto,epek,athari,effekt,таъсир,விளைவு,ప్రభావం,ผลกระทบ,اثر,ta’sir,hiệu lực,isiphumo,ווירקונג,ipa,umphumela
كهربائي,էլեկտրական,elektrik,elektrikoa,বৈদ্যুতিক,električni,електрически,elèctrica,електрически,ilettricu,električna,elektrisk,elektra,elektriline,de-kuryenteng,sähköinen,eléctrica,ელექტრო,elektrisch,ηλεκτρικός,ઇલેક્ટ્રિક,elektrik,pila nui,חשמלי,hluav taws xob,elektromos,rafmagns,electric,listrik,leictreacha,elettrico,エレクトリック,elektrik,ವಿದ್ಯುತ್,электр,អគ្គិសនី,elatrîkî,электрдик,ໄຟຟ້າ,electrica,elektriskā,elektrescht,електрични,elektrika,elektrik,വൈദ്യുത,elettriku,hiko,विद्युत,цахилгаан,बिजुली,برقي,برق,elektryczny,elétrica,ਬਿਜਲੀ ਦੇ,electric,uila,Елецтриц,zvemagetsi,بجليء,විදුලි,elektrické,korontada,eléctrica,listrik,umeme,elektrisk,барқӣ,மின்சார,విద్యుత్,ไฟฟ้า,بجلی,elektr,điện,ombane,עלעקטריש,ina-,electric
توقع,ակնկալում,gözləyirik,espero,আশা করা,očekujem,очаквайте,esperar,очаквайте,m’aspettu,očekujemo,forventer,atendi,oota,inaasahan,odottaa,esperar,ველით,erwarten,αναμένω,અપેક્ષા,espere,makemake,מצפה,cia siab tias,vár,búast,na-atụ anya,mengharapkan,ag súil leis,aspettare,期待する,nyana,ನಿರೀಕ್ಷೆ,күту,រំពឹងថានឹងមាន,bendeman,күтүү,ຄາດຫວັງວ່າການ,sperare,gaidīt,erwaart,очекуваме,manantena,mengharapkan,പ്രതീക്ഷ,jistennew,e ti’aturi,अपेक्षा,найдах,आशा,تمه,انتظار,oczekiwać,esperar,ਉਮੀਦ ਹੈ,aștepta,faamoemoe,очекују,kutarisira,اميد,බලාපොරොත්තු,"očakávať, že",filayaan,esperar,ngaharepkeun,kutarajia,förvänta,интизор,எதிர்பார்க்க,ఆశించే,คาดหวังว่า,توقع,kutyapmiz,mong đợi,silindele,דערוואַרטן,reti,bheka
العظام,Ոսկրածուծի,sümük,hezur,হাড়,kosti,костна,os,костна,elle,kosti,knogle,osto,luu,buto,luu,ósea,ძვლის,Knochen,των οστών,અસ્થિ,zo,iwi,עצם,pob txha,csont,bein,ọkpụkpụ,tulang,cnámh,osso,骨,balung,ಮೂಳೆ,сүйек,ឆ្អឹង,hestî,сөөк,ກະດູກ,osse,kauls,schanken,коска,taolana,tulang,അസ്ഥി,għadam,wheua,हाड,ясны,हड्डी,د هډوکو,استخوان,kości,osso,ਹੱਡੀ,os,ivi,кост,pfupa,بون,අස්ථි,kosť,lafta,hueso,tulang,mfupa,ben,устухон,எலும்பு,ఎముక,กระดูก,ہڈی,suyak,xương,ithambo,ביין,egungun,amathambo
سكة حديدية,երկաթուղի,rail,trenbide,রেল,rail,железопътния,ferrocarril,железопътния,ferrovie,željeznicom,skinne,fervoja,raudtee,rail,kisko,ferroviaria,სარკინიგზო,Schiene,σιδηροδρομικές,રેલવે,tren,hoino aku,רכבת,rail,sín,járnbrautum,tren,rel,iarnróid,ferrovia,レール,ril,ರೈಲು,рельс,ផ្លូវរថភ្លើង,hesinê tirêne,тосмо,ລາງລົດໄຟ,cogitis,dzelzceļš,persounegare,железнички,lalamby,kereta api,റെയിൽ,ferrovija,whakakorekore mo,रेल्वे,төмөр замын,रेल,د ریل,نرده,szyna,trilho,ਰੇਲ,feroviar,ala uʻamea,раил,njanji,ريل,දුම්රිය,zábradlia,rail,ferrocarril,rel,reli,skena,роҳи оҳан,ரயில்,రైలు,ทางรถไฟ,ریل,rels,đường sắt,ngololiwe,רעלס,iṣinipopada,ujantshi
تخيل,պատկերացնել,təsəvvür etmək,imajinatu,কল্পনা,zamislite,представете си,imaginar,представете си,à pensà,zamislite,forestille,imagu,kujutage ette,isipin,kuvitella,imaxinar,წარმოიდგინეთ,vorstellen,φανταστείτε,કલ્પના,imajine,manao wale,להניח,xav txog tej yam,képzelni,ímynda,iche,bayangkan,shamhlú,immaginare,想像する,mbayangno,ಕಲ್ಪನೆ,елестету,ស្រមៃ,fikirin,элестетүү,ຈິນຕະນາການ,imaginari,iedomāties,envisagéieren,замисли,sary an-tsaina,bayangkan,സങ്കൽപ്പിക്കാൻ,jimmaġina,whakaaro,कल्पना,төсөөлж,कल्पना,تصور,تصور کنید,wyobrazić,imaginar,ਕਲਪਨਾ ਕਰੋ,imagina,vaai faalemafaufau,замислите,fungidzira,تصور,හිතාගන්න,predstavte si,qiyaasi,imaginar,ngabayangkeun,kufikiria,föreställa sig,тасаввур кардан,கற்பனை,ఊహించే,จินตนาการ,تصور,tasavvur,tưởng tượng,ucinge,ימאַדזשאַן,fojuinu,imagine
توفير,ապահովել,təmin,ematen,প্রদান,pružaju,предоставят,proporcionar,предоставят,furnissi,predvidjeti,give,provizi,anda,magbigay,antaa,proporcionar,გთავაზობთ,bieten,παρέχουν,પૂરી પાડે છે,bay,e hoomakaukau i,לספק,muab,hogy,veita,nye,menyediakan,a chur ar fáil,fornire,提供する,nyedhiyani,ಒದಗಿಸಲು,қамтамасыз ету,ផ្តល់នូវការ,amadekirin,камсыз кылуу,ສະຫນອງການ,praestare,nodrošināt,déi,обезбеди,manome,menyediakan,നൽകുന്നതിന്,jipprovdu,whakarato,प्रदान,өгөх,प्रदान,برابر کړي,ارائه,zapewniać,fornecer,ਮੁਹੱਈਆ,furniza,tuuina,обезбедити,zvinopa,مهيا ڪرڻ,ලබා,poskytnúť,siiyaan,proporcionar,nyadiakeun,kutoa,tillhandahålla,таъмин,எப்படி,అందించేందుకు,ให้,فراہم کرتے ہیں,ta’minlash,cho,ukubonelela,צושטעלן,pese,ukuhlinzeka
توافق,համաձայն,razıyam,ados,একমত,slažu,Съгласен,acord,Съгласен,affattu,Slažete,enige,interkonsenti,nõus,Sumasang-ayon,suostua,Concordo,ვეთანხმები,zustimmen,συμφωνώ,સંમત,dakò,ae,מסכים,pom zoo,egyetért,sammála,ekweta,setuju,aontaíonn,concordare,同意する,setuju,ಒಪ್ಪುತ್ತೇನೆ,келісу,យល់ព្រម,qebûlkirin,макул,ຕົກລົງເຫັນດີ,conveniunt,piekrītu,averstanen,согласувам,miombon-kevitra,bersetuju,സമ്മതിക്കുക,jaqblu,whakaae,सहमत,санал нэгтэй,सहमत,موافقه,توافق,zgadzam się,concordar,ਸਹਿਮਤ,acord,ioe,слажем,kubvumirana,متفق,එකඟ,súhlasiť,heshiin,acuerdo,satuju,kukubaliana,enas,розӣ шудан,ஒப்புக்கொள்கிறேன்,అంగీకరిస్తున్నారు,ตกลง,اتفاق,qo’shilaman,đồng ý,uyavuma,שטימען,gba,uvume
وبالتالي,այսպիսով,beləliklə,horrela,এইভাবে,na taj način,по този начин,"per tant,",по този начин,cusì,tako,således,tiele,seega,kaya,näin,así,"ამგვარად,",so,έτσι,આમ,konsa,pela,כך,yog li,így,þannig,"N’ihi ya,",demikian,dá bhrí sin,così,このようにして,mangkono,ಹೀಗೆ,осылайша,ដូច្នេះ,ji ber vê yekê,"Ошентип,",ດັ່ງນັ້ນການ,ita,tādējādi,domat,на тој начин,dia toy izany no,dengan itu,ഇങ്ങനെ,b’hekk,te kupu,अशा प्रकारे,ийн,यसरी,په دې توګه,بنابر این,tak więc,assim,ਇਸ ਪ੍ਰਕਾਰ,"astfel,",faapea ona,тако,saka,اهڙيء طرح,මෙසේ,teda,sidaas,"por tanto,",sahingga,hivyo,sålunda,ҳамин тавр,இவ்வாறு,అందువలన,ดังนั้น,اس طرح,shunday,do đó,ngoko ke,אַזוי אַרום,bayi,Kanjalo
لطيف,մեղմ,incə,leuna,মৃদু,blagim,нежен,suau,нежен,ï¿½,nježan,blid,afabla,õrn,magiliw,lempeä,suave,ნაზი,sanft,ευγενής,સૌમ્ય,dou,akahai,עדין,maj mam,szelíd,blíður,nwayọọ,lembut,mhín,dolce,優しい,lanang,ಶಾಂತ,жұмсақ,សុភាពរាប,nerm,жумшак,ອ່ອນນ້ອມ,mitis,maigs,sanft,нежен,malemy fanahy,lembut,ശാന്തനും,ġentili,ngawari,सभ्य,зөөлөн,कोमल,نرم,ملایم,łagodny,suave,ਕੋਮਲ,blând,malū,нежан,munyoro,مهربان,මෘදු,jemný,tur,suave,hipu,mpole,mild,мулоим,மென்மையான,సున్నితమైన,อ่อนโยน,نرم,yumshoq,nhẹ nhàng,nobubele,צאַרט,onírẹlẹ,mnene
امرأة,կին,qadın,emakumea,নারী,žena,жена,dona,жена,donna,žena,kvinde,virino,naine,babae,nainen,muller,ქალი,Frau,γυναίκα,મહિલા,fanm,wahine,אישה,poj niam,nő,kona,nwanyị,wanita,bean,donna,女,wadon,ಮಹಿಳೆ,әйел,ស្រ្តីម្នាក់,jin,аял,ແມ່ຍິງ,"mulier,",sieviete,fra,жена,vehivavy,wanita,സ്ത്രീ,mara,te wahine,स्त्री,эмэгтэй,महिला,ښځه,زن,kobieta,mulher,ਔਰਤ ਨੂੰ,femeie,fafine,Жена,mukadzi,عورت,කාන්තාව,žena,haweeney,mujer,awewe,mwanamke,kvinna,зан,பெண்,మహిళ,หญิง,عورت,ayol,người phụ nữ,inkosikazi,פרוי,obirin,owesifazane
